,waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
11720,23/03/18 06.10,2.95,294.6,30.4,67.5,1006.45,0.2,662.15
11721,23/03/18 06.20,2.8,292.4,30.5,68.1,1006.3,0.2,623.6
11722,23/03/18 06.30,2.75,148.5,30.75,67.25,1006.15,0.2,654.95
11723,23/03/18 06.40,2.7,4.6,31,66.4,1006,0.2,686.3
11724,23/03/18 06.50,2.5,315.9,31.4,65.9,1005.8,0.2,660.8
11725,23/03/18 07.00,3.5,308,31,64,1005.7,0.2,599
11726,23/03/18 07.10,2.6,324.3,31.2,62.3,1005.6,0.2,617.8
11727,23/03/18 07.20,1.7,325.6,31.8,61.6,1005.3,0.2,626.3
11728,23/03/18 07.30,3.3,328.8,31.6,61,1005.4,0.2,602.3
11729,23/03/18 07.40,2.4,325,31.5,61.3,1005.3,0.2,555.5
11730,23/03/18 07.50,2,316.55,31.35,61.85,1005.25,0.2,528.2
11731,23/03/18 08.00,1.6,308.1,31.2,62.4,1005.2,0.2,500.9
11732,23/03/18 08.10,3,307.5,31.1,61.1,1005.1,0.2,477.9
11733,23/03/18 08.20,3.3,297.4,30.9,61.2,1005.1,0.2,328.8
11734,23/03/18 08.30,2.95,321.9,30.75,62.6,1005.1,0.2,195.4
11735,23/03/18 08.40,2.6,346.4,30.6,64,1005.1,0.2,62
11736,23/03/18 08.50,2.1,320.5,30.2,66.9,1004.9,0.2,53.8
11737,23/03/18 09.00,2.4,330.4,30.1,68.3,1005,0.2,47.2
11738,23/03/18 09.10,2.4,318.5,29.9,67.9,1004.9,0.2,46.8
11739,23/03/18 09.20,2.9,325.2,29.6,68.7,1005.1,0.2,40.4
11740,23/03/18 09.30,3,307.8,29.6,68.3,1005,0.2,37.3
11741,23/03/18 09.40,3.1,315.3,29.7,67.9,1005.2,0.2,33.4
11742,23/03/18 09.50,2.1,303,29.8,67.2,1005.1,0.2,31.9
11743,23/03/18 10.00,2.9,311,29.6,67,1005.2,0.2,33.9
11744,23/03/18 10.10,2.2,306.6,29.7,68,1005.4,0.2,35.1
11745,23/03/18 10.20,2,308.1,29.53333333,69.2,1005.533333,0.2,28.86666667
11746,23/03/18 10.30,1.8,309.6,29.36666667,70.4,1005.666667,0.2,22.63333333
11747,23/03/18 10.40,1.6,311.1,29.2,71.6,1005.8,0.2,16.4
11748,23/03/18 10.50,1.7,319.4,29.1,72.5,1005.9,0.2,10.7
11749,23/03/18 11.00,1.4,309.9,29.1,72.6,1006.1,0.2,5.9
11750,23/03/18 11.10,1.8,301.8,29.1,71.5,1006.3,0.2,1.5
11751,23/03/18 11.20,1.8,297.4,29,71.5,1006.2,0.2,0.6
11752,23/03/18 11.30,1.85,302.65,29,71.55,1006.55,0.2,0.75
11753,23/03/18 11.40,1.9,307.9,29,71.6,1006.9,0.2,0.9
11754,23/03/18 11.50,1.3,299.5,29,71.8,1007,0.2,1.7
11755,23/03/18 12.00,1.2,309.4,28.9,72.8,1007,0.2,1.8
11756,23/03/18 12.10,1.65,300.5,28.9,73.2,1007.3,0.2,1.5
11757,23/03/18 12.20,2.1,291.6,28.9,73.6,1007.6,0.2,1.2
11758,23/03/18 12.30,0.6,318.3,28.9,73.8,1007.8,0.2,0.7
11759,23/03/18 12.40,1.3,311.7,29,73.7,1007.8,0.2,0.5
11760,23/03/18 12.50,1,322.9,29,73.9,1008.2,0.2,0.8
11761,23/03/18 13.00,0.75,322.35,29,74.3,1008.4,0.2,1
11762,23/03/18 13.10,0.5,321.8,29,74.7,1008.6,0.2,1.2
11763,23/03/18 13.20,0.6,293.6,29,74.5,1008.7,0.2,1.2
11764,23/03/18 13.30,0.6,332.1,29,73.7,1008.8,0.2,1.4
11765,23/03/18 13.40,0.5,329.3,29,73,1009.1,0.2,0.4
11766,23/03/18 13.50,0.8,283.3,29.1,72.3,1009.4,0.2,1.4
11767,23/03/18 14.00,0.7,243.9,29,72.3,1009.3,0.2,0.1
11768,23/03/18 14.10,1,294.4,29.1,71.5,1009.4,0.2,1.1
11769,23/03/18 14.20,0.3,316,29.1,71.8,1009.2,0.2,0.5
11770,23/03/18 14.30,0.1,337.4,29,72.5,1009.4,0.2,0.6
11771,23/03/18 14.40,0,0,28.8,74,1009.5,0.2,1.3
11772,23/03/18 14.50,0.033333333,118.7,28.66666667,74.8,1009.433333,0.2,1.133333333
11773,23/03/18 15.00,0.066666667,237.4,28.53333333,75.6,1009.366667,0.2,0.966666667
11774,23/03/18 15.10,0.1,356.1,28.4,76.4,1009.3,0.2,0.8
11775,23/03/18 15.20,0,0,28.4,76,1009.3,0.2,1.6
11776,23/03/18 15.30,0,0,28.4,76.3,1009.4,0.2,1.7
11777,23/03/18 15.40,0.6,76.3,28.3,76.8,1009.2,0.2,1.5
11778,23/03/18 15.50,0.4,76.7,28.2,76.4,1009.3,0.2,1.2
11779,23/03/18 16.00,0.5,77.2,28,77,1009.2,0.2,1
11780,23/03/18 16.10,1,122.3,28,77,1009.1,0.2,1
11781,23/03/18 16.20,0.6,80.7,27.9,77.6,1009.1,0.2,0.5
11782,23/03/18 16.30,0.3,42.2,27.8,78.3,1008.9,0.2,1.4
11783,23/03/18 16.40,0.35,58.6,27.65,79.2,1008.9,0.2,1.05
11784,23/03/18 16.50,0.4,75,27.5,80.1,1008.9,0.2,0.7
