waktu,windspeed,winddir,temp,rh,pressure,rain,solrad
6/3/2019 10.10.00,1.2,10.1,30.9,68.6,1007.9,0.0,19.9
6/3/2019 10.20.00,1.1,53.1,30.7,70.1,1008.1,0.0,13.7
6/3/2019 10.30.00,1.2,78.8,30.5,70.8,1008.4,0.0,7.4
6/3/2019 10.40.00,0.7,49.5,30.2,71.4,1008.5,0.0,3.9
6/3/2019 10.50.00,0.8,85.3,30.0,71.5,1008.7,0.0,1.0
6/3/2019 11.00.00,0.3,46.9,30.1,71.7,1008.8,0.0,0.2
6/3/2019 11.10.00,0.4,56.6,29.9,73.2,1009.0,0.0,0.2
6/3/2019 11.20.00,0.5,81.6,29.8,73.4,1009.3,0.0,0.1
6/3/2019 11.30.00,1.5,80.7,29.5,73.4,1009.4,0.0,0.8
6/3/2019 11.40.00,0.2,32.4,29.1,76.3,1009.4,0.0,0.5
6/3/2019 11.50.00,0.4,17.8,28.8,76.3,1009.6,0.0,0.5
6/3/2019 12.00.00,0.8,4.1,28.8,74.9,1009.6,0.0,0.6
6/3/2019 12.10.00,0.2,1.1,28.7,75.8,1009.9,0.0,0.2
6/3/2019 12.20.00,0.8,15.8,28.7,74.9,1010.1,0.0,0.7
6/3/2019 12.30.00,0.5,40.1,28.7,74.9,1010.2,0.0,0.9
6/3/2019 12.40.00,0.0,0.0,28.8,75.3,1010.4,0.0,0.7
6/3/2019 12.50.00,0.0,0.0,28.6,75.4,1010.6,0.0,0.1
6/3/2019 13.00.00,0.0,0.0,28.6,75.5,1010.8,0.0,0.1
6/3/2019 13.10.00,0.0,0.0,28.6,75.7,1011.0,0.0,0.1
